dataset,backend,snapshot,architecture_id,entanglement,reps,twoq_count,logical_depth,probability_mae,probability_mae_seed_sd,probability_rmse,delta_logloss,delta_brier,delta_auc,delta_bacc,rotations,N2Q,Depth,E2Q,OLD,CARE,oneq,readout,relax,dephase
breast_cancer,ibm_fez,0,A042,left_ladder,3,6,13,0.034728171651879795,0.0011234332676400079,0.037023120031592145,0.02885504518030657,0.004517473432564871,0.0,0.0,ry+rz,6.0,13.0,0.048278007088396836,0.12440369371585017,0.1162700176420755,0.025692422656228047,0.016616789502093072,0.01626735214754934,0.009415446247808202
breast_cancer,ibm_fez,0,A045,right_ladder,2,4,9,0.01844005525079451,0.00044011660148598846,0.019728061084338187,0.01165117401418205,0.0008595600342430343,0.0,0.0,ry+rz,4.0,9.0,0.01022577222965498,0.06655378904786732,0.06171524618366427,0.019269316992171034,0.016616789502093072,0.009677085728406096,0.00592628173133909
breast_cancer,ibm_fez,0,A047,right_ladder,4,8,17,0.018127648464747417,0.0031033992402220525,0.02003470732896059,0.016253971575081776,0.0036780697067052746,0.0,0.0,ry+rz,8.0,17.0,0.02045154445930996,0.10597220473476174,0.09727915859135827,0.03211552832028506,0.016616789502093072,0.01738609228680692,0.01070920402286326
breast_cancer,ibm_fez,0,A058,left_ladder,3,6,16,0.027792290975704754,0.005256595926854937,0.032022857586033085,0.022142474379254595,0.005968058935251115,0.0,0.008130081300812978,rx+ry+rz,6.0,16.0,0.048278007088396836,0.15595944529248967,0.1448736504637071,0.044961739648399085,0.016616789502093072,0.022171589657565154,0.012845524567252976
breast_cancer,ibm_fez,0,A059,left_ladder,4,8,21,0.045466882843082625,0.002261097071347122,0.04860334180641342,0.04696111775939732,0.011097016977295324,0.0003534817956874677,0.0,rx+ry+rz,8.0,21.0,0.06437067611786244,0.1989008026029953,0.18444775602628605,0.05780795097651311,0.016616789502093072,0.02890609315341845,0.01674624627639899
breast_cancer,ibm_fez,0,A063,right_ladder,4,8,21,0.02599448420021222,0.00444632833424656,0.028265009014267314,0.0241503639955656,0.0053397964372964984,0.0,0.0,rx+ry+rz,8.0,21.0,0.02045154445930996,0.1480465401702811,0.1354173356868671,0.05780795097651311,0.016616789502093072,0.025258408966828006,0.015282641782122953
breast_cancer,ibm_fez,2,A000,full_chain,1,3,4,0.01946879878365462,0.0001151040458894021,0.020697344502847482,0.014612902726469035,0.0015395944571139492,0.0,0.0,ry,3.0,4.0,0.01759325796063772,0.06059128376263195,0.05673120733661436,0.012948502319390447,0.013889965799580422,0.007720152852035193,0.004579328404970578
breast_cancer,ibm_fez,2,A003,full_chain,4,12,13,0.03768226851611207,0.0025881431465665976,0.04031190764540101,0.03824034994012401,0.008190573972169482,0.0,0.0,ry,12.0,13.0,0.07037303184255086,0.16859740374925425,0.15617070242603323,0.03237125579847612,0.013889965799580422,0.02485340264644209,0.014683046338983728
breast_cancer,ibm_fez,2,A013,right_ladder,2,4,7,0.015421599516398822,0.0008103366662331257,0.016391605982822965,0.013180079298461211,0.0019714421474338654,0.0,0.0,ry,4.0,7.0,0.008058799669479094,0.06172145501416043,0.056846059830420084,0.01942275347908567,0.013889965799580422,0.009750790367480697,0.0057237505147942035
breast_cancer,ibm_fez,2,A015,right_ladder,4,8,13,0.018245070161375877,0.0030568634911884306,0.019745214637270022,0.015056771784872339,0.002511450307354668,0.0,0.0,ry,8.0,13.0,0.016117599338958188,0.0988536662612297,0.09010741068736544,0.03237125579847612,0.013889965799580422,0.017492511147728502,0.010236078602622213
breast_cancer,ibm_fez,2,A018,full_chain,3,9,13,0.027941509838671403,0.0011382531024878976,0.03037326483859773,0.028180271763548165,0.006949953586662727,0.0,0.0,rx+rz,9.0,13.0,0.05277977388191315,0.1325953637537135,0.1230242040628936,0.025897004638780894,0.013889965799580422,0.01914231938163979,0.011315140360979343
breast_cancer,ibm_fez,2,A020,outer_pairs,1,2,4,0.015507150246471424,0.00013635544315179383,0.01716116011537397,0.01539837238474051,0.003670341197353886,0.0,0.0,rx+rz,2.0,4.0,0.015449077393963246,0.056723053772970544,0.053290893228114346,0.012948502319390447,0.013889965799580422,0.006864321089712398,0.004139026625467836
breast_cancer,ibm_fez,2,A022,outer_pairs,3,6,10,0.026252465665008783,0.0013040685982967997,0.02877343490221243,0.027488292268213383,0.007446452582566099,0.0,0.0,rx+rz,6.0,10.0,0.046347232181889735,0.12099067378472927,0.11270326173739356,0.025897004638780894,0.013889965799580422,0.0165748240946714,0.009994235022471118
breast_cancer,ibm_fez,2,A025,left_ladder,2,4,9,0.021706718411569962,0.00023945961679340604,0.023782980663042106,0.022104449100333063,0.005415446206924103,0.0,0.004065040650406471,rx+rz,4.0,9.0,0.03141607738514529,0.08859612842544783,0.0828864694075973,0.01942275347908567,0.013889965799580422,0.011419318035701074,0.006738354708084829
breast_cancer,ibm_fez,2,A037,outer_pairs,2,4,7,0.023184376275443622,0.004021413739987595,0.025251072885972867,0.02134347688224177,0.004307670759822427,0.0,-0.007246376811594198,ry+rz,4.0,7.0,0.030898154787926492,0.08885686377884991,0.08299707748275396,0.01942275347908567,0.013889965799580422,0.011719572592191897,0.007066630823969477
breast_cancer,ibm_fez,2,A040,left_ladder,1,2,5,0.016739319454746878,0.0015739366477158278,0.018144163692065923,0.015935467763904882,0.0033132851656903217,0.0,0.0,ry+rz,2.0,5.0,0.015708038692572646,0.0565926860962695,0.053235589190536,0.012948502319390447,0.013889965799580422,0.006714193811466986,0.003974888567525512
breast_cancer,ibm_fez,2,A042,left_ladder,3,6,13,0.03310043782118901,0.0010717408405699865,0.03530528049610376,0.027377548968776016,0.004217695764213408,0.0,0.0,ry+rz,6.0,13.0,0.04712411607771794,0.12059957075462614,0.11253734962465856,0.025897004638780894,0.013889965799580422,0.016124442259935166,0.009501820848644146
breast_cancer,ibm_fez,2,A045,right_ladder,2,4,9,0.01628718967583059,0.00040229710895533323,0.01745011450593958,0.01014231732610856,0.000680662603593928,0.0,0.0,ry+rz,4.0,9.0,0.008058799669479094,0.06172145501416043,0.056846059830420084,0.01942275347908567,0.013889965799580422,0.009750790367480697,0.0057237505147942035
breast_cancer,ibm_fez,2,A047,right_ladder,4,8,17,0.016230979082323255,0.002820162755461281,0.017918170250167596,0.014547210500400642,0.0032830257559669784,0.0,0.0,ry+rz,8.0,17.0,0.016117599338958188,0.0988536662612297,0.09010741068736544,0.03237125579847612,0.013889965799580422,0.017492511147728502,0.010236078602622213
breast_cancer,ibm_fez,2,A058,left_ladder,3,6,16,0.026435864243248935,0.00506177710206279,0.030429020501506632,0.021064322704491396,0.005676495265633787,0.0,0.008130081300812978,rx+ry+rz,6.0,16.0,0.04712411607771794,0.15269740465715845,0.14162157914634152,0.045319758117866565,0.013889965799580422,0.022151651021633856,0.013136088129542733
breast_cancer,ibm_fez,2,A059,left_ladder,4,8,21,0.04386980590944867,0.002200910040635107,0.046897277801546684,0.045204181393807163,0.01061579589272293,0.0003534817956874677,0.0,rx+ry+rz,8.0,21.0,0.06283215477029058,0.1954001249538475,0.1809672025372971,0.05826826043725701,0.013889965799580422,0.02886584483310084,0.017110976697068247
breast_cancer,ibm_fez,2,A063,right_ladder,4,8,21,0.023816335185196352,0.004116364067487927,0.025878697793504147,0.022060424033539156,0.0048445582503729755,0.0,0.0,rx+ry+rz,8.0,21.0,0.016117599338958188,0.14165077813127275,0.1288863833829427,0.05826826043725701,0.013889965799580422,0.02552878949666009,0.015081768310486996
breast_cancer,ibm_fez,4,A000,full_chain,1,3,4,0.017598982287673037,0.00012830609451973502,0.01874204376057163,0.012966045630515788,0.0012729390805280804,0.0,0.0,ry,3.0,4.0,0.014831652316696696,0.06295881764760299,0.05972343245190175,0.010894996546543549,0.013271268755777393,0.006470770391402478,0.014254744441481636
breast_cancer,ibm_fez,4,A003,full_chain,4,12,13,0.03331548411116867,0.003316990114243769,0.035702796212381004,0.033289930731911326,0.006917547149518972,0.0,0.0,ry,12.0,13.0,0.059326609266786776,0.1758549056648327,0.16545202106960605,0.02723749136635887,0.013271268755777393,0.020805769190453273,0.04481088249022973
breast_cancer,ibm_fez,4,A013,right_ladder,2,4,7,0.014556766639817394,0.0007514691387040826,0.015463980877444989,0.012365607586475036,0.0018285179621715432,0.0,0.0,ry,4.0,7.0,0.009711811213757656,0.06537808360677222,0.06134251028693261,0.01634249481981532,0.013271268755777393,0.008071146639679236,0.013945788857903004
breast_cancer,ibm_fez,4,A015,right_ladder,4,8,13,0.01716526979351533,0.0031819505228096023,0.018610722658889862,0.013844612688235633,0.002216628337815584,0.0,0.0,ry,8.0,13.0,0.019423622427515313,0.10542937890501802,0.09820445099453157,0.02723749136635887,0.013271268755777393,0.014449855820972924,0.023822212623907067
breast_cancer,ibm_fez,4,A018,full_chain,3,9,13,0.02408288546719457,0.0013475089514395227,0.02610030678677196,0.024130598597315405,0.005891982106598664,0.0,0.0,rx+rz,9.0,13.0,0.044494956950090085,0.1382228763257561,0.13020915819703793,0.021789993093087098,0.013271268755777393,0.016027436257436342,0.03462550314064703
breast_cancer,ibm_fez,4,A020,outer_pairs,1,2,4,0.013750527259509607,0.00012077549379218015,0.015207941189046746,0.013636137694304199,0.0032341341953776074,0.0,0.0,rx+rz,2.0,4.0,0.012289586780232951,0.05903325812076787,0.05614201079602589,0.010894996546543549,0.013271268755777393,0.005782494649483959,0.013903664063988042
breast_cancer,ibm_fez,4,A022,outer_pairs,3,6,10,0.022346029918762833,0.0012184781465032237,0.02443498066608551,0.023340442851990422,0.0062751437378981935,0.0,0.0,rx+rz,6.0,10.0,0.03686876034069885,0.12644619774525076,0.11946489322941037,0.021789993093087098,0.013271268755777393,0.01396260903168078,0.03357226200816625
breast_cancer,ibm_fez,4,A025,left_ladder,2,4,9,0.018818996616945204,0.00027758743708684224,0.020583283932807867,0.019158152025450237,0.004671500726185916,0.0,0.004065040650406471,rx+rz,4.0,9.0,0.025035624492563222,0.09250170984760206,0.08768579957573513,0.01634249481981532,0.013271268755777393,0.009631820543733858,0.023404590963845333
breast_cancer,ibm_fez,4,A037,outer_pairs,2,4,7,0.020458543494499357,0.0038431611747193157,0.022312647543122996,0.018617174016811105,0.0036573857823126075,0.0,-0.007246376811594198,ry+rz,4.0,7.0,0.024579173560465902,0.0927397279330093,0.08780345201271812,0.01634249481981532,0.013271268755777393,0.009872551840582368,0.023737963036077146
breast_cancer,ibm_fez,4,A040,left_ladder,1,2,5,0.014927270934842052,0.0015016453002425813,0.01616480172412638,0.01415062349261953,0.0029154681143291707,0.0,0.0,ry+rz,2.0,5.0,0.012517812246281611,0.05891424907806425,0.05608318457753439,0.010894996546543549,0.013271268755777393,0.005662129001059703,0.013736978027872136
breast_cancer,ibm_fez,4,A042,left_ladder,3,6,13,0.028905677857440432,0.000834281877428673,0.030911226962192357,0.02328953885115335,0.003367421700245158,0.0,0.0,ry+rz,6.0,13.0,0.037553436738844835,0.12608917061713987,0.11928841457393587,0.021789993093087098,0.013271268755777393,0.013601512086408014,0.033072203899818534
breast_cancer,ibm_fez,4,A045,right_ladder,2,4,9,0.01577298419018201,0.0007057836787520194,0.016977648862045416,0.009310902661369266,0.0004615752735530841,0.0,0.0,ry+rz,4.0,9.0,0.009711811213757656,0.06537808360677222,0.06134251028693261,0.01634249481981532,0.013271268755777393,0.008071146639679236,0.013945788857903004
breast_cancer,ibm_fez,4,A047,right_ladder,4,8,17,0.014870592578805792,0.0028552738670442634,0.016469741569210133,0.013017487309337402,0.002837352222437727,0.0,0.0,ry+rz,8.0,17.0,0.019423622427515313,0.10542937890501802,0.09820445099453157,0.02723749136635887,0.013271268755777393,0.014449855820972924,0.023822212623907067
