dataset,backend,CARE,Depth,E2Q,N2Q,OLD,structural_best,E2Q_advantage
breast_cancer,ibm_fez,0.8389962485959426,0.5341519631091134,0.9104149835370627,0.5789074245838369,0.8415147942608688,0.5789074245838369,0.3315075589532258
breast_cancer,ibm_kingston,0.5322373866079381,0.24121197639880476,0.5212512791847927,0.2938004255557887,0.5276582126717088,0.2938004255557887,0.22745085362900402
breast_cancer,ibm_marrakesh,0.6645297216256041,0.47593477587681166,0.6705597028859108,0.5340381263761441,0.6579815028967961,0.5340381263761441,0.1365215765097667
digits_01,ibm_fez,0.7892664196484918,0.6187893706618071,0.8196391259371805,0.6016225068014814,0.7901822544357375,0.6187893706618071,0.2008497552753734
digits_01,ibm_kingston,0.5265134191876514,0.28663621484439056,0.5057479351900601,0.27688096102330456,0.5165308200066713,0.28663621484439056,0.21911172034566956
digits_01,ibm_marrakesh,0.6213481114069613,0.5428660006884707,0.6226069668076682,0.5320750945795576,0.6128308478855747,0.5428660006884707,0.07974096611919756
iris_binary,ibm_fez,0.7840690572308715,0.47704720620609126,0.9045067667709756,0.47580151641074275,0.7886482311671007,0.47704720620609126,0.4274595605648844
iris_binary,ibm_kingston,0.412904113829801,0.1244067918244412,0.3323257430599118,0.09011250723378313,0.4106603186010486,0.1244067918244412,0.2079189512354706
iris_binary,ibm_marrakesh,0.5690081533158599,0.40872544348283246,0.5616011936880704,0.40681497041641507,0.5621393924115157,0.40872544348283246,0.15287575020523791
