dataset,backend,seed,E2Q,N2Q,Depth
breast_cancer,ibm_fez,17,0.911605786916274,0.5774117813102472,0.48362908565432916
breast_cancer,ibm_fez,43,0.8426994913769084,0.5047796048365444,0.5372111465146324
breast_cancer,ibm_fez,101,0.854767825623916,0.582553055063212,0.5074536352064017
breast_cancer,ibm_kingston,17,0.4998855185539426,0.26865492301856086,0.18188235883722328
breast_cancer,ibm_kingston,43,0.45419988890919866,0.23462903854439385,0.26531463353319723
breast_cancer,ibm_kingston,101,0.5009847216732147,0.2854809098464457,0.21534797124305285
breast_cancer,ibm_marrakesh,17,0.6245305722663944,0.4857101530982749,0.3678436288818053
breast_cancer,ibm_marrakesh,43,0.6039663139100133,0.46364941481282596,0.5076390402612816
breast_cancer,ibm_marrakesh,101,0.6492168423200455,0.5360011581727308,0.4402443028124227
digits_01,ibm_fez,17,0.7128790229778842,0.6560265308783091,0.663564691415313
digits_01,ibm_fez,43,0.6536823549920882,0.36138480598112604,0.3960251972235565
digits_01,ibm_fez,101,0.7902812426266232,0.5479663043614488,0.5080098503710415
digits_01,ibm_kingston,17,0.561257692713298,0.38998898358853024,0.39240979865339765
digits_01,ibm_kingston,43,0.33131814020057915,0.0723517433599047,0.06628230711957933
digits_01,ibm_kingston,101,0.46450491815237405,0.24463115293652535,0.2045017755325762
digits_01,ibm_marrakesh,17,0.6009893054619849,0.5906856153633563,0.584025922871818
digits_01,ibm_marrakesh,43,0.3917285116305714,0.28594829836944247,0.31407616296662205
digits_01,ibm_marrakesh,101,0.6085921270369499,0.48440146523388394,0.42244541754394827
iris_binary,ibm_fez,17,0.7757397013612536,0.5287098972139805,0.5107909261942407
iris_binary,ibm_fez,43,0.412063769337104,0.15984687486490573,0.15759429664795085
iris_binary,ibm_fez,101,0.8368599748057757,0.3491392266786099,0.29599917011582766
iris_binary,ibm_kingston,17,0.44918477467752,0.27360924136232695,0.24705223562752293
iris_binary,ibm_kingston,43,0.22183292950808753,-0.03776499265814147,-0.03643209328390864
iris_binary,ibm_kingston,101,0.24977100878958505,0.050384482779055086,0.02465887229903231
iris_binary,ibm_marrakesh,17,0.570486418902186,0.5215121139598299,0.4814969275232099
iris_binary,ibm_marrakesh,43,0.1613080577531711,0.08927120789238888,0.11726869721156344
iris_binary,ibm_marrakesh,101,0.5380828269486458,0.33408931623811294,0.2735651584753547
